abbreviation,meaning
l.o.n,lồn
l**,lồn
l*n,lồn
l4`n,lồn
l9l,lồn
lolzz,lồn
lòn,lồn
lx má,lồn má
lò tôn,lồn to
lồng lộn,lồng lộng
lường gạt,lừa gạt
mai thúy,ma túy
ma phi te,malphite
màng hinh,màn hình
lốn màu,máu lồn
mài,mày
máy b,máy bay
uh1,máy bay trực thăng
m*,mẹ
mọe,mẹ
mẹ high,mẹ hai
mẹc si,messi
m n,mọi người
m1,mồng một
mình ên,một mình
susan0175,nasus
nhnn,ngân hàng nhà nước
ất ơ,ngáo
ngộ nghĩh,ngộ nghĩnh
chóp bu,người cấp bậc cao nhất
pro player,người chơi chuyên nghiệp
most valuable player,người chơi giá trị nhất
hàn xẻng,người hàn
cờ rớt,người mình thích
quý bửu,người nghiện truyện tranh nhật bản
weeboo,người nghiện truyện tranh nhật bản
ng ta,người ta
ng eo,người yêu
ngừi eo,người yêu
nn,nhà nước
nha mại,nhé mày
chu cà mo,nhiều
nh nước,nhiều nước
ncc,như con cặc
đc của ló,nó được đấy
được của ló,nó được đấy
nô nố,no no
ns ch,nói chuyện
n*ng,nứng
nứng lòn,nứng lồn
nlmm,nứng lồn mong manh
u là trời,ôi trời
%,phần trăm
give away,phát thưởng
lai chim,phát trực tiếp
like trym,phát trực tiếp
live stream,phát trực tiếp
sờ chim,phát trực tiếp
sờ chym,phát trực tiếp
sờ trym,phát trực tiếp
pttm,phẫu thuật thẩm mỹ
ptt,phó thủ tướng
sờ tai,phong cách
pccc,phòng cháy chữa cháy
phu thuê,phu thê
wa',quá
nghiệp quật,quả báo
quan chuc,quan chức
qằn qè,quần què
qq,quần què
add,quản trị viên
assmin,quản trị viên
cuốc sư,quốc sư
quý dị,quý vị
dăn đe,răn đe
gáp pơ,rapper
dờ gáy,rờ gáy
oi`,rồi
r`,rồi
gồ ba nồ,romano
sắp mặt,sấp mặt
shop pe,shopee
sop pe,shopee
sóp pe,shopee
xóp be,shopee
sốp pe,shoppe
sô bít,showbiz
su bờ,siêu
super fake,siêu giả
siu nhơn,siêu nhân
snvv,sinh nhật vui vẻ
sll,số lượng lớn
ss,so sánh
tùng moutain,sơn tùng mtp
ì ven,sự kiện
suc vat,súc vật
xúc zật,súc vật
acc,tài khoản
account,tài khoản
pp,tạm biệt
tấc diên,tất nhiên
tấc dziêng,tất nhiên
tâc nghiêng,tất nhiên
tấc nhiên,tất nhiên
tắc nhiêng,tất nhiên
tấc nhiêng,tất nhiên
tất diên,tất nhiên
tiếc diên,tất nhiên
tiếc ziên,tất nhiên
tiếc ziêng,tất nhiên
tức diêng,tất nhiên
tức nghiêng,tất nhiên
tức nhiên,tất nhiên
thả trym,thả tim
thách th,thách thức
ttdh,thách thức danh hài
tham nhủng,tham nhũng
fuck boy,thằng khốn nạn
tgt3,thế giới thứ 3
gam esport,thể thao điện tử gam
thjeen,thiên
in4,thông tin
t3,thứ ba
t7,thứ bảy
t2,thứ hai
t5,thứ năm
t6,thứ sáu
t4,thứ tư
sun vòi,thụt cặc
thuyết đục,thuyết phục
tiêng chi,tiên tri
tiêng chy,tiên tri
tiêng tri,tiên tri
ing lích,tiếng anh
t/c,tình cảm
ai lóp du,tôi yêu bạn
ai lốp du,tôi yêu bạn
ai lớp du,tôi yêu bạn
ai lớp du chu cờ mo,tôi yêu bạn nhiều
i love you chu cà mo,tôi yêu bạn nhiều
good,tốt
chả lại,trả lại
tà tưa,trà sữa
chầm kẽm,trầm cảm
chầm zn,trầm cảm
ck4mk4m,trầm cảm
ckầm kảm,trầm cảm
chầng giần,trần dần
ông cọp,trần dần
trần cọp,trần dần
tran dan,trần dần
trân dân,trần dần
trần dan,trần dần
trần tiger,trần dần
chân chọng,trân trọng
sờ ta tus,trạng thái
stt,trạng thái
chi ân,tri ân
chiết lí,triết lí
căm bách,trở lại
chời,trời
tr ạ,trời ạ
tr oi,trời ơi
tr ơi,trời ơi
tr oi tr,trời ơi trời
chong xáng,trong sáng
tàu cộng,trung quốc
trung cộng,trung quốc
tư bổn,tư bản
tư'k,tức
tục tiểu,tục tĩu
tụt tĩu,tục tĩu
tùng xói,tùng sói
nai xừ,tuyệt vời
toẹt vời,tuyệt vời
ờ,ừ
ùm,ừ
úi zồi,úi trời
ubkttp,uỷ ban kiểm tra thành phố
v~,vãi
vãi chg,vãi chưởng
vcc,vãi con cặc
vãi lờ,vãi lồn
vại lòn,vãi lồn
vãi lồng,vãi lồn
vải lờ,vải lồn
bla bla,vân vân
v bạn,vậy bạn
v s,vậy sao
vai rớt,vi rút
vi rut,vi rút
di chùng,vi trùng
di trùng,vi trùng
music video,video âm nhạc
chai lơ,video giới thiệu
đông lào,việt nam
ziệc nam,việt nam
vê lóc,vlog
vê lốc,vlog
vờ lốc,vlog
dô văn quá,vô văn hoá
dzũ chụ,vũ trụ
giủ chụ,vũ trụ
zui tánh,vui tính
dzui dzẻ,vui vẻ
vv,vui vẻ
zui zẻ,vui vẻ
sa sỉ,xa xỉ
xa sĩ,xa xỉ
xàm lol,xàm lồn
xờ lờ,xàm lồn
xạo lồng,xạo lồn
xộn lào,xạo lồn
hé lo,xin chào
hé lô,xin chào
hế lô,xin chào
só di,xin lỗi
sorry,xin lỗi
sử phạt,xử phạt
xức sắc,xuất sắc
xu cà na,xui xẻo
r i p,yên nghỉ
r.i.p,yên nghỉ
rest in peace,yên nghỉ
y3u^,yêu
y/c,yêu cầu
iu thưn,yêu thương
diu túp,youtube
du túp,youtube
c*t,cứt
