word,emoji,word_vn_upcase,word_vn,emoji_no_punc
:Bolivia:,🇧🇴,Bôlivia.,bôlivia,Bolivia
:Bosnia_&_Herzegovina:,🇧🇦,Bosnia & Herzegovina.,bosnia và herzegovina,Bosnia & Herzegovina
:Botswana:,🇧🇼,Botswana.,botswana,Botswana
:Bouvet_Island:,🇧🇻,Đảo Bouvet,đảo bouvet,Bouvet Island
:Brazil:,🇧🇷,Brazil.,brazil,Brazil
:British_Indian_Ocean_Territory:,🇮🇴,Lãnh thổ Ấn Độ Dương thuộc Anh,lãnh thổ ấn độ dương thuộc anh,British Indian Ocean Territory
:British_Virgin_Islands:,🇻🇬,Quần đảo British Virgin,quần đảo british virgin,British Virgin Islands
:Brunei:,🇧🇳,Brunei.,brunei,Brunei
:Bulgaria:,🇧🇬,Bulgaria.,bulgaria,Bulgaria
:Burkina_Faso:,🇧🇫,Burkina Faso.,bukina faso,Burkina Faso
:Burundi:,🇧🇮,Burundi.,burundi,Burundi
:CL_button:,🆑,Nút CL.,nút cl,CL button
:COOL_button:,🆒,nút lạnh,nút lạnh,COOL button
:Cambodia:,🇰🇭,Campuchia,campuchia,Cambodia
:Cameroon:,🇨🇲,Cameroon.,cameroon,Cameroon
:Canada:,🇨🇦,Canada,canada,Canada
:Canary_Islands:,🇮🇨,đảo Canary,đảo canary,Canary Islands
:Cancer:,♋,Ung thư,ung thư,Cancer
:Cape_Verde:,🇨🇻,Cape Verde.,cape verde,Cape Verde
:Capricorn:,♑,Ma Kết,ma kết,Capricorn
:Caribbean_Netherlands:,🇧🇶,Caribbean Hà Lan.,caribbean hà lan,Caribbean Netherlands
:Cayman_Islands:,🇰🇾,Quần đảo Cayman,quần đảo cayman,Cayman Islands
:Central_African_Republic:,🇨🇫,Cộng hòa trung phi,cộng hòa trung phi,Central African Republic
:Ceuta_&_Melilla:,🇪🇦,Ceuta & Melilla.,ceuta và melilla,Ceuta & Melilla
:Chad:,🇹🇩,Chad,chad,Chad
:Chile:,🇨🇱,Chile.,chile,Chile
:China:,🇨🇳,Trung Quốc,trung quốc,China
:Christmas_Island:,🇨🇽,Đảo Giáng sinh.,đảo giáng sinh,Christmas Island
:Christmas_tree:,🎄,Cây Giáng sinh,cây giáng sinh,Christmas tree
:Clipperton_Island:,🇨🇵,Đảo Clipperton,đảo clipperton,Clipperton Island
:Cocos_(Keeling)_Islands:,🇨🇨,Quần đảo Cocos (Keeling),quần đảo cocos (keeling),Cocos (Keeling) Islands
:Colombia:,🇨🇴,Colombia.,colombia,Colombia
:Comoros:,🇰🇲,Comoros.,comoros,Comoros
:Congo_-_Brazzaville:,🇨🇬,Congo - Brazzaville.,congo brazzaville,Congo - Brazzaville
:Congo_-_Kinshasa:,🇨🇩,Congo - Kinshasa.,congo kinshasa,Congo - Kinshasa
:Cook_Islands:,🇨🇰,Quần đảo Cook,quần đảo cook,Cook Islands
:Costa_Rica:,🇨🇷,Costa Rica.,costa rica,Costa Rica
:Croatia:,🇭🇷,Croatia.,croatia,Croatia
:Cuba:,🇨🇺,Cuba.,cuba,Cuba
:Curaçao:,🇨🇼,Curacao,curacao,Curaçao
:Cyprus:,🇨🇾,Síp,síp,Cyprus
:Czechia:,🇨🇿,Séc.,séc,Czechia
:Côte_d’Ivoire:,🇨🇮,Bờ biển ngà,bờ biển ngà,Côte d’Ivoire
:Denmark:,🇩🇰,Đan mạch,đan mạch,Denmark
:Diego_Garcia:,🇩🇬,Diego Garcia.,diego garcia,Diego Garcia
:Djibouti:,🇩🇯,Djibouti.,djibouti,Djibouti
:Dominica:,🇩🇲,Dominica.,dominica,Dominica
:Dominican_Republic:,🇩🇴,Cộng hòa Dominican.,cộng hoà dominica,Dominican Republic
:END_arrow:,🔚,mũi tên kết thúc,mũi tên kết thúc,END arrow
:Ecuador:,🇪🇨,Ecuador.,ecuador,Ecuador
:Egypt:,🇪🇬,Ai Cập.,ai cập,Egypt
:El_Salvador:,🇸🇻,El Salvador,el salvador,El Salvador
:England:,🏴󠁧󠁢󠁥󠁮󠁧󠁿,nước Anh,nước anh,England
:Equatorial_Guinea:,🇬🇶,Equatorial Guinea,equatorial guinea,Equatorial Guinea
:Eritrea:,🇪🇷,Eritrea.,eritrea,Eritrea
:Estonia:,🇪🇪,Estonia.,estonia,Estonia
:Eswatini:,🇸🇿,Eswatini.,eswatini,Eswatini
:Ethiopia:,🇪🇹,Ethiopia.,ethiopia,Ethiopia
:European_Union:,🇪🇺,Liên minh châu Âu,liên minh châu âu,European Union
:FREE_button:,🆓,Nút miễn phí,nút miễn phí,FREE button
:Falkland_Islands:,🇫🇰,Quần đảo Falkland,quần đảo falkland,Falkland Islands
:Faroe_Islands:,🇫🇴,Quần đảo Faroe.,quần đảo faroe,Faroe Islands
:Fiji:,🇫🇯,Fiji.,fiji,Fiji
:Finland:,🇫🇮,Phần Lan,phần lan,Finland
:France:,🇫🇷,Pháp.,pháp,France
:French_Guiana:,🇬🇫,Guiana thuộc Pháp,guiana thuộc pháp,French Guiana
:French_Polynesia:,🇵🇫,Polynesia thuộc Pháp.,polunesia thuộc pháp,French Polynesia
:French_Southern_Territories:,🇹🇫,Lãnh thổ phía Nam của Pháp,lãnh thổ phía nam của pháp,French Southern Territories
:Gabon:,🇬🇦,Gabon.,gabon,Gabon
:Gambia:,🇬🇲,Gambia.,gambia,Gambia
:Gemini:,♊,Song Tử,song tử,Gemini
:Georgia:,🇬🇪,Georgia.,georgia,Georgia
:Germany:,🇩🇪,nước Đức,nước đức,Germany
:Ghana:,🇬🇭,Ghana.,ghana,Ghana
:Gibraltar:,🇬🇮,Gibraltar.,gibraltar.,Gibraltar
:Greece:,🇬🇷,Hy Lạp.,hy lạp.,Greece
:Greenland:,🇬🇱,Greenland.,greenland.,Greenland
:Grenada:,🇬🇩,Grenada.,grenada.,Grenada
:Guadeloupe:,🇬🇵,Guadeloupe.,guadeloupe.,Guadeloupe
:Guam:,🇬🇺,Guam.,guam.,Guam
:Guatemala:,🇬🇹,Guatemala.,guatemala.,Guatemala
:Guernsey:,🇬🇬,Guernsey.,guernsey.,Guernsey
:Guinea:,🇬🇳,Guinea.,guinea.,Guinea
:Guinea-Bissau:,🇬🇼,Guinea-Bissau,guinea-bissau,Guinea-Bissau
:Guyana:,🇬🇾,Guyana.,guyana.,Guyana
:Haiti:,🇭🇹,Haiti.,haiti.,Haiti
:Heard_&_McDonald_Islands:,🇭🇲,Quần đảo Heard & McDonald,quần đảo heard & mcdonald,Heard & McDonald Islands
:Honduras:,🇭🇳,Honduras.,honduras.,Honduras
:Hong_Kong_SAR_China:,🇭🇰,Hồng Kông SAR Trung Quốc,hồng kông sar trung quốc,Hong Kong SAR China
:Hungary:,🇭🇺,Hungary.,hungary.,Hungary
:ID_button:,🆔,Nút ID.,nút id.,ID button
:Iceland:,🇮🇸,Nước Iceland,nước iceland,Iceland
:India:,🇮🇳,Ấn Độ,ấn độ,India
:Indonesia:,🇮🇩,Indonesia.,indonesia.,Indonesia
:Iran:,🇮🇷,Iran.,iran.,Iran
:Iraq:,🇮🇶,Iraq.,iraq.,Iraq
:Ireland:,🇮🇪,Ireland.,ireland.,Ireland
:Isle_of_Man:,🇮🇲,Đảo Man.,đảo man.,Isle of Man
:Israel:,🇮🇱,Người israel,người israel,Israel
:Italy:,🇮🇹,Nước Ý,nước ý,Italy
:Jamaica:,🇯🇲,Jamaica.,jamaica.,Jamaica
:Japan:,🇯🇵,Nhật Bản,nhật bản,Japan
:Japanese_acceptable_button:,🉑,nút chấp nhận tiếng Nhật,nút chấp nhận tiếng nhật,Japanese acceptable button
:Japanese_application_button:,🈸,nút ứng dụng tiếng Nhật ,nút ứng dụng tiếng nhật ,Japanese application button
:Japanese_bargain_button:,🉐,nút mặc cả tiếng Nhật,nút mặc cả tiếng nhật,Japanese bargain button
:Japanese_castle:,🏯,lâu đài Nhật bản,lâu đài nhật bản,Japanese castle
:Japanese_congratulations_button:,㊗,nút chúc mừng tiếng Nhật,nút chúc mừng tiếng nhật,Japanese congratulations button
:Japanese_discount_button:,🈹,nút giảm giá tiếng Nhật ,nút giảm giá tiếng nhật ,Japanese discount button
:Japanese_dolls:,🎎,Búp bê Nhật Bản,búp bê nhật bản,Japanese dolls
:Japanese_free_of_charge_button:,🈚,nút miễn phí tiếng Nhật,nút miễn phí tiếng nhật,Japanese free of charge button
:Japanese_here_button:,🈁,nút ở đây tiếng Nhật,nút ở đây tiếng nhật,Japanese here button
:Japanese_monthly_amount_button:,🈷,nút số tiền hàng tháng tiếng Nhật,nút số tiền hàng tháng tiếng nhật,Japanese monthly amount button
:Japanese_no_vacancy_button:,🈵,nút không tuyển dụng tiếng Nhật,nút không tuyển dụng tiếng nhật,Japanese no vacancy button
:Japanese_not_free_of_charge_button:,🈶,nút không miễn phí tiếng Nhật,nút không miễn phí tiếng nhật,Japanese not free of charge button
:Japanese_open_for_business_button:,🈺,nút cho kinh doanh tiếng Nhật,nút cho kinh doanh tiếng nhật,Japanese open for business button
:Japanese_passing_grade_button:,🈴,nút điểm đậu tiếng Nhật,nút điểm đậu tiếng nhật,Japanese passing grade button
:Japanese_post_office:,🏣,Bưu điện Nhật Bản.,bưu điện nhật bản.,Japanese post office
:Japanese_prohibited_button:,🈲,nút cấm tiếng Nhật,nút cấm tiếng nhật,Japanese prohibited button
:Japanese_reserved_button:,🈯,nút dành riêng tiếng Nhật,nút dành riêng tiếng nhật,Japanese reserved button
:Japanese_secret_button:,㊙,nút bí mật tiếng Nhật,nút bí mật tiếng nhật,Japanese secret button
:Japanese_service_charge_button:,🈂,Nút phí phục vụ tiếng Nhật,nút phí phục vụ tiếng nhật,Japanese service charge button
:Japanese_symbol_for_beginner:,🔰,Biểu tượng tiếng Nhật cho người mới bắt đầu,biểu tượng tiếng nhật cho người mới bắt đầu,Japanese symbol for beginner
:Japanese_vacancy_button:,🈳,nút vị trí tuyển dụng tiếng Nhật,nút vị trí tuyển dụng tiếng nhật,Japanese vacancy button
:Jersey:,🇯🇪,Jersey,jersey,Jersey
:Jordan:,🇯🇴,Jordan.,jordan.,Jordan
:Kazakhstan:,🇰🇿,Kazakhstan.,kazakhstan.,Kazakhstan
:Kenya:,🇰🇪,Kenya.,kenya.,Kenya
:Kiribati:,🇰🇮,Kiribati.,kiribati.,Kiribati
:Kosovo:,🇽🇰,Kosovo.,kosovo.,Kosovo
:Kuwait:,🇰🇼,Kuwait.,kuwait.,Kuwait
:Kyrgyzstan:,🇰🇬,Kyrgyzstan.,kyrgyzstan.,Kyrgyzstan
:Laos:,🇱🇦,Nước Lào,nước lào,Laos
:Latvia:,🇱🇻,Latvia.,latvia.,Latvia
:Lebanon:,🇱🇧,Li băng,li băng,Lebanon
:Leo:,♌,Sư Tử,sư tử,Leo
:Lesotho:,🇱🇸,Lesotho.,lesotho.,Lesotho
:Liberia:,🇱🇷,Liberia.,liberia.,Liberia
:Libra:,♎,Thiên Bình,thiên bình,Libra
:Libya:,🇱🇾,Libya.,libya.,Libya
:Liechtenstein:,🇱🇮,Liechtenstein.,liechtenstein.,Liechtenstein
:Lithuania:,🇱🇹,Litva.,litva.,Lithuania
:Luxembourg:,🇱🇺,Luxembourg.,luxembourg.,Luxembourg
:Macao_SAR_China:,🇲🇴,Macao Trung quốc,macao trung quốc,Macao SAR China
:Madagascar:,🇲🇬,Madagascar.,madagascar.,Madagascar
:Malawi:,🇲🇼,Malawi.,malawi.,Malawi
:Malaysia:,🇲🇾,Malaysia.,malaysia.,Malaysia
:Maldives:,🇲🇻,Maldives.,maldives.,Maldives
:Mali:,🇲🇱,Mali.,mali.,Mali
:Malta:,🇲🇹,Malta.,malta.,Malta
:Marshall_Islands:,🇲🇭,đảo Marshall,đảo marshall,Marshall Islands
:Martinique:,🇲🇶,Martinique.,martinique.,Martinique
:Mauritania:,🇲🇷,Mauritania.,mauritania.,Mauritania
:Mauritius:,🇲🇺,Mauritius.,mauritius.,Mauritius
:Mayotte:,🇾🇹,Mayotte.,mayotte.,Mayotte
:Mexico:,🇲🇽,Mexico.,mexico.,Mexico
:Micronesia:,🇫🇲,Micronesia.,micronesia.,Micronesia
:Moldova:,🇲🇩,Moldova.,moldova.,Moldova
:Monaco:,🇲🇨,Monaco.,monaco.,Monaco
:Mongolia:,🇲🇳,Mông Cổ,mông cổ,Mongolia
:Montenegro:,🇲🇪,Montenegro.,montenegro.,Montenegro
:Montserrat:,🇲🇸,Montserrat.,montserrat.,Montserrat
:Morocco:,🇲🇦,Maroc,maroc,Morocco
:Mozambique:,🇲🇿,Mozambique.,mozambique.,Mozambique
:Mrs._Claus:,🤶,Bà Claus.,bà claus,Mrs. Claus
:Mrs._Claus_dark_skin_tone:,🤶🏿,MRS. Claus Dark Skin Tone,bà claus màu da sẫm,Mrs. Claus dark skin tone
:Mrs._Claus_light_skin_tone:,🤶🏻,Mrs Claus Light Skin Tone,bà claus màu da sáng,Mrs. Claus light skin tone
:Mrs._Claus_medium-dark_skin_tone:,🤶🏾,Bà Claus màu da tối vừa,bà claus màu da sẫm vừa,Mrs. Claus medium-dark skin tone
:Mrs._Claus_medium-light_skin_tone:,🤶🏼,Bà Claus màu da sáng vừa,bà claus màu da sáng vừa,Mrs. Claus medium-light skin tone
:Mrs._Claus_medium_skin_tone:,🤶🏽,Bà Claus màu da thường,bà claus màu da thường,Mrs. Claus medium skin tone
:Myanmar_(Burma):,🇲🇲,Myanmar (Miến Điện),myanmar (miến điện),Myanmar (Burma)
:NEW_button:,🆕,Nút mới,nút mới,NEW button
:NG_button:,🆖,N nút.,nút n,NG button
:Namibia:,🇳🇦,Namibia.,namibia.,Namibia
:Nauru:,🇳🇷,Nauruu.,nauruu.,Nauru
:Nepal:,🇳🇵,Nepal.,nepal.,Nepal
:Netherlands:,🇳🇱,nước Hà Lan,nước hà lan,Netherlands
:New_Caledonia:,🇳🇨,New Caledonia.,new caledonia.,New Caledonia
:New_Zealand:,🇳🇿,New Zealand.,new zealand.,New Zealand
:Nicaragua:,🇳🇮,Nicaragua.,nicaragua.,Nicaragua
:Niger:,🇳🇪,Nigeria.,nigeria.,Niger
:Nigeria:,🇳🇬,Nigeria.,nigeria.,Nigeria
:Niue:,🇳🇺,Niue.,niue.,Niue
:Norfolk_Island:,🇳🇫,Đảo Norfolk,đảo norfolk,Norfolk Island
:North_Korea:,🇰🇵,Bắc Triều Tiên,bắc triều tiên,North Korea
:North_Macedonia:,🇲🇰,Bắc Macedonia.,bắc macedonia.,North Macedonia
:Northern_Mariana_Islands:,🇲🇵,Quần đảo Bắc Mariana.,quần đảo bắc mariana.,Northern Mariana Islands
:Norway:,🇳🇴,Na Uy,na uy,Norway
:OK_button:,🆗,Nút OK.,nút ok.,OK button
:OK_hand:,👌,tay OK,tay ok,OK hand
:OK_hand_dark_skin_tone:,👌🏿,tay OK màu da sẫm,tay ok màu da sẫm,OK hand dark skin tone
:OK_hand_light_skin_tone:,👌🏻,tay OK màu da sáng,tay ok màu da sáng,OK hand light skin tone
:OK_hand_medium-dark_skin_tone:,👌🏾,tay OK màu da vừa tối,tay ok màu da vừa tối,OK hand medium-dark skin tone
:OK_hand_medium-light_skin_tone:,👌🏼,tay OK màu da vừa sáng,tay ok màu da vừa sáng,OK hand medium-light skin tone
:OK_hand_medium_skin_tone:,👌🏽,tay OK màu da thường,tay ok màu da thường,OK hand medium skin tone
:ON!_arrow:,🔛,mũi tên trên!,mũi tên trên!,ON! arrow
:O_button_(blood_type):,🅾,O nút O (Nhóm máu),o nút o (nhóm máu),O button (blood type)
:Oman:,🇴🇲,Ô-man.,ô-man.,Oman
:Ophiuchus:,⛎,chòm sao Xà phu,chòm sao xà phu,Ophiuchus
:P_button:,🅿,Nút p.,nút p.,P button
:Pakistan:,🇵🇰,Pakistan.,pakistan.,Pakistan
:Palau:,🇵🇼,Palau.,palau.,Palau
:Palestinian_Territories:,🇵🇸,Lãnh thổ Palestine,lãnh thổ palestine,Palestinian Territories
:Panama:,🇵🇦,Panama.,panama.,Panama
:Papua_New_Guinea:,🇵🇬,Papua New Guinea.,papua new guinea.,Papua New Guinea
:Paraguay:,🇵🇾,Paraguay.,paraguay.,Paraguay
:Peru:,🇵🇪,Peru.,peru.,Peru
:Philippines:,🇵🇭,Philippines.,philippines.,Philippines
:Pisces:,♓,cung Song Ngư,cung song ngư,Pisces
:Pitcairn_Islands:,🇵🇳,Quần đảo Pitcairn.,quần đảo pitcairn.,Pitcairn Islands
:Poland:,🇵🇱,Ba Lan.,ba lan.,Poland
:Portugal:,🇵🇹,Bồ Đào Nha,bồ đào nha,Portugal
:Puerto_Rico:,🇵🇷,Puerto Rico.,puerto rico.,Puerto Rico
:Qatar:,🇶🇦,Qatar.,qatar.,Qatar
:Romania:,🇷🇴,Romania.,romania.,Romania
:Russia:,🇷🇺,Nga,nga,Russia
:Rwanda:,🇷🇼,Rwanda.,rwanda.,Rwanda
:Réunion:,🇷🇪,Réunion,réunion,Réunion
:SOON_arrow:,🔜,mũi tên sớm,mũi tên sớm,SOON arrow
:SOS_button:,🆘,Nút SOS.,nút sos.,SOS button
:Sagittarius:,♐,chòm sao Nhân Mã,chòm sao nhân mã,Sagittarius
:Samoa:,🇼🇸,Samoa.,samoa.,Samoa
:San_Marino:,🇸🇲,San Marino.,san marino.,San Marino
:Santa_Claus:,🎅,Ông già Noen,ông già noen,Santa Claus
:Santa_Claus_dark_skin_tone:,🎅🏿,Santa Claus Dark Skin Tone,ông già noen màu da sẫm,Santa Claus dark skin tone
:Santa_Claus_light_skin_tone:,🎅🏻,Santa Claus Light Skin Tone,ông già noen màu da sáng,Santa Claus light skin tone
:Santa_Claus_medium-dark_skin_tone:,🎅🏾,Ông già Noel màu da sẫm vừa,ông già noen màu da sẫm vừa,Santa Claus medium-dark skin tone
:Santa_Claus_medium-light_skin_tone:,🎅🏼,Ông già Noel màu gia sáng vừa,ông già noen màu da sáng vừa,Santa Claus medium-light skin tone
:Santa_Claus_medium_skin_tone:,🎅🏽,Ông già Noel màu da thường,ông già noen màu da thường,Santa Claus medium skin tone
:Saudi_Arabia:,🇸🇦,Ả Rập Saudi.,ả rập saudi.,Saudi Arabia
:Scorpio:,♏,Bò Cạp,bò cạp,Scorpio
:Scotland:,🏴󠁧󠁢󠁳󠁣󠁴󠁿,Scotland.,scotland.,Scotland
:Senegal:,🇸🇳,Sénégal.,sénégal.,Senegal
:Serbia:,🇷🇸,Serbia.,serbia.,Serbia
:Seychelles:,🇸🇨,Seychelles.,seychelles.,Seychelles
:Sierra_Leone:,🇸🇱,Sierra Leone,sierra leone,Sierra Leone
:Singapore:,🇸🇬,Singapore,singapore,Singapore
:Sint_Maarten:,🇸🇽,Sint Maarten.,sint maarten.,Sint Maarten
:Slovakia:,🇸🇰,Slovakia.,slovakia.,Slovakia
:Slovenia:,🇸🇮,Slovenia.,slovenia.,Slovenia
:Solomon_Islands:,🇸🇧,Quần đảo Solomon,quần đảo solomon,Solomon Islands
:Somalia:,🇸🇴,Somalia.,somalia.,Somalia
:South_Africa:,🇿🇦,Nam Phi,nam phi,South Africa
:South_Georgia_&_South_Sandwich_Islands:,🇬🇸,Quần đảo Nam Georgia & South Sandwich,quần đảo nam georgia & south sandwich,South Georgia & South Sandwich Islands
:South_Korea:,🇰🇷,Nam Triều Tiên,nam triều tiên,South Korea
:South_Sudan:,🇸🇸,phía nam Sudan,phía nam sudan,South Sudan
:Spain:,🇪🇸,Tây Ban Nha,tây ban nha,Spain
:Sri_Lanka:,🇱🇰,Sri Lanka.,sri lanka.,Sri Lanka
:St._Barthélemy:,🇧🇱,St. Barthélemy.,st. barthélemy.,St. Barthélemy
:St._Helena:,🇸🇭,St. Helena.,st. helena.,St. Helena
:St._Kitts_&_Nevis:,🇰🇳,St. Kitts & Nevis,st. kitts & nevis,St. Kitts & Nevis
:St._Lucia:,🇱🇨,St. Lucia.,st. lucia.,St. Lucia
:St._Martin:,🇲🇫,St. Martin.,st. martin.,St. Martin
:St._Pierre_&_Miquelon:,🇵🇲,St. Pierre & Miquelon,st. pierre & miquelon,St. Pierre & Miquelon
:St._Vincent_&_Grenadines:,🇻🇨,St. Vincent & Grenadines,st. vincent & grenadines,St. Vincent & Grenadines
:Statue_of_Liberty:,🗽,Tượng Nữ thần Liberty.,tượng nữ thần tự do,Statue of Liberty
:Sudan:,🇸🇩,Sudan.,sudan.,Sudan
:Suriname:,🇸🇷,Suriname.,suriname.,Suriname
:Svalbard_&_Jan_Mayen:,🇸🇯,Svalbard & Jan Mayen,svalbard & jan mayen,Svalbard & Jan Mayen
:Sweden:,🇸🇪,Thụy Điển.,thụy điển.,Sweden
:Switzerland:,🇨🇭,Thụy sĩ,thụy sĩ,Switzerland
:Syria:,🇸🇾,Syria.,syria.,Syria
:São_Tomé_&_Príncipe:,🇸🇹,São Tomé & Príncipe,são tomé & príncipe,São Tomé & Príncipe
:T-Rex:,🦖,T-rex.,t-rex.,T-Rex
:TOP_arrow:,🔝,mũi tên hướng lên,mũi tên hướng lên,TOP arrow
:Taiwan:,🇹🇼,Đài Loan.,đài loan.,Taiwan
:Tajikistan:,🇹🇯,Tajikistan.,tajikistan.,Tajikistan
:Tanzania:,🇹🇿,Tanzania.,tanzania.,Tanzania
:Taurus:,♉,chòm sao Kim Ngưu,chòm sao kim ngưu,Taurus
:Thailand:,🇹🇭,Thái Lan,thái lan,Thailand
:Timor-Leste:,🇹🇱,Timor-Leste.,timor-leste.,Timor-Leste
:Togo:,🇹🇬,togo,togo,Togo
:Tokelau:,🇹🇰,Tokelau,tokelau,Tokelau
:Tokyo_tower:,🗼,Tháp Tokyo,tháp tokyo,Tokyo tower
:Tonga:,🇹🇴,tonga,tonga,Tonga
:Trinidad_&_Tobago:,🇹🇹,Trinidad & Tobago,trinidad & tobago,Trinidad & Tobago
:Tristan_da_Cunha:,🇹🇦,Tristan da Cunha.,tristan da cunha.,Tristan da Cunha
:Tunisia:,🇹🇳,Tunisia.,tunisia.,Tunisia
:Turkey:,🇹🇷,thổ nhĩ kỳ,thổ nhĩ kỳ,Turkey
:Turkmenistan:,🇹🇲,Turkmenistan.,turkmenistan.,Turkmenistan
:Turks_&_Caicos_Islands:,🇹🇨,Quần đảo Turks & Caicos,quần đảo turks & caicos,Turks & Caicos Islands
:Tuvalu:,🇹🇻,Tuvalu.,tuvalu.,Tuvalu
:U.S._Outlying_Islands:,🇺🇲,U.S. Quần đảo xa xôi,u.s. quần đảo xa xôi,U.S. Outlying Islands
:U.S._Virgin_Islands:,🇻🇮,Quần đảo Virgin Hoa Kỳ,quần đảo virgin hoa kỳ,U.S. Virgin Islands
:UP!_button:,🆙,nút lên!,nút lên!,UP! button
:Uganda:,🇺🇬,Uganda.,uganda.,Uganda
:Ukraine:,🇺🇦,Ukraine.,ukraine.,Ukraine
:United_Arab_Emirates:,🇦🇪,các Tiểu Vương Quốc Ả Rập Thống Nhất,các tiểu vương quốc ả rập thống nhất,United Arab Emirates
:United_Kingdom:,🇬🇧,Vương quốc Anh,vương quốc anh,United Kingdom
:United_Nations:,🇺🇳,liên Hiệp Quốc,liên hiệp quốc,United Nations
:United_States:,🇺🇸,Hoa Kỳ,hoa kỳ,United States
:Uruguay:,🇺🇾,Uruguay.,uruguay.,Uruguay
:Uzbekistan:,🇺🇿,Uzbekistan.,uzbekistan.,Uzbekistan
:VS_button:,🆚,Nút vs.,nút vs.,VS button
:Vanuatu:,🇻🇺,Vanuatu.,vanuatu.,Vanuatu
:Vatican_City:,🇻🇦,Thành phố Vatican,thành phố vatican,Vatican City
:Venezuela:,🇻🇪,Venezuela.,venezuela.,Venezuela
:Vietnam:,🇻🇳,Việt Nam,việt nam,Vietnam
:Virgo:,♍,Xử Nữ,xử nữ,Virgo
:Wales:,🏴󠁧󠁢󠁷󠁬󠁳󠁿,Wales.,wales.,Wales
:Wallis_&_Futuna:,🇼🇫,Wallis & Futuna.,wallis & futuna.,Wallis & Futuna
:Western_Sahara:,🇪🇭,Phía tây Sahara,phía tây sahara,Western Sahara
:Yemen:,🇾🇪,Yemen.,yemen.,Yemen
:Zambia:,🇿🇲,Zambia.,zambia.,Zambia
:Zimbabwe:,🇿🇼,Zimbabwe.,zimbabwe.,Zimbabwe
:abacus:,🧮,bàn tính,bàn tính,abacus
:accordion:,🪗,phong cầm,phong cầm,accordion
:adhesive_bandage:,🩹,băng keo cá nhân,băng keo cá nhân,adhesive bandage
:admission_tickets:,🎟,vé vào cửa.,vé vào cửa.,admission tickets
:aerial_tramway:,🚡,Đường xe điện trên không,đường xe điện trên không,aerial tramway
:airplane:,✈,Máy bay,máy bay,airplane
:airplane_arrival:,🛬,máy bay đến,máy bay đến,airplane arrival
:airplane_departure:,🛫,khởi hành máy bay,khởi hành máy bay,airplane departure
:alarm_clock:,⏰,đồng hồ báo thức,đồng hồ báo thức,alarm clock
:alembic:,⚗,Alembic.,alembic.,alembic
:alien:,👽,Alien.,alien.,alien
:alien_monster:,👾,quái vật ngoài hành tinh,quái vật ngoài hành tinh,alien monster
:ambulance:,🚑,xe cứu thương,xe cứu thương,ambulance
:american_football:,🏈,Bóng đá Mỹ,bóng đá mỹ,american football
:amphora:,🏺,bình hai quai xưa,bình hai quai xưa,amphora
