abb,start_index,end_index,cmt,origin,,,,,,,,,,,,,,,,,,,,,
ah,201,203,ờ nghe đồn dự kiến tới năm việt nam sẽ đứng trong số những nc có nền kiểm tra phát triển gì đó mà trước mắt thấy là ba cái vô bổ này là dân chịu nợ không biết bn tiền rồi ăn ở không nên rửa tiền chơi ah,à,,,,,,,,,,,,,,,,,,,,,
ah,27,29,gioi da nguoi nua moi chiu ah,à,,,,,,,,,,,,,,,,,,,,,
ah,23,25,ngọc hoàng lại đi rừng ah,à,,,,,,,,,,,,,,,,,,,,,
ah,11,13,hợp lý quá ah yêu,anh,,,,,,,,,,,,,,,,,,,,,
ah,18,20,thôi đi ông tướng ah,à,,,,,,,,,,,,,,,,,,,,,
ah,16,18,năm đấy các ông ah,à,,,,,,,,,,,,,,,,,,,,,
ah,66,68,chi khanh chi nhin không ai it lam viec it hoi anh tuan hoi không ah,à,,,,,,,,,,,,,,,,,,,,,
ah,19,21,thich anh chau quá ah,à,,,,,,,,,,,,,,,,,,,,,
ah,56,58,ơ thế bà già của mụ này ngoại tình với ông hồ lòi ra mụ ah,à,,,,,,,,,,,,,,,,,,,,,
ah,31,33,nguyen mai thi cũng chung team ah c ha ha,anh,,,,,,,,,,,,,,,,,,,,,
ah,47,49,tụi trung nó quá việt nam mặc áo dài luôn rồi ah các bạn bò vô cho mình tí ý kiến với thanks các bạn,à,,,,,,,,,,,,,,,,,,,,,
ah,0,2,ah châu đep trai vãi,anh,,,,,,,,,,,,,,,,,,,,,
ah,26,28,đoàn duy diện ở đâu thế ạ ah,anh,,,,,,,,,,,,,,,,,,,,,
ah,48,50,ai cung thich dep do dieu kien không cho phep c ah,à,,,,,,,,,,,,,,,,,,,,,
ah,53,55,nam nữ giong nhau đàn ông không bao giờ nhịn bủm ah,à,,,,,,,,,,,,,,,,,,,,,
ah,43,45,thím không thấy cái áo lót ở hộp chữa cháy ah,à,,,,,,,,,,,,,,,,,,,,,
ah,23,25,minh tuân đẹp trai quá ah,anh,,,,,,,,,,,,,,,,,,,,,
ah,5,7,được ah,anh,,,,,,,,,,,,,,,,,,,,,
ah,14,16,nó lại hợp lí ah,anh,,,,,,,,,,,,,,,,,,,,,
ah,44,46,cái thằng tung cựa nó lại đi trước chúng ta ah đã duyệt bao nhiêu cái tượng đài tốn bao nhiêu tiền tỷ rồi mà không có cái nào to nhất để đập là sao hả các đồng chí về viết kiểm điểm hết cho tôi,à,,,,,,,,,,,,,,,,,,,,,
ah,33,35,lam stream khuya khổ lắm các ông ah kiểu này là vài đứa nữa,à,,,,,,,,,,,,,,,,,,,,,
ah,74,76,quản trị viên có cập nhật được tình hình biểu tình ở hà nội bây giờ không ah căng quá mà không biết như thế nào,ạ,,,,,,,,,,,,,,,,,,,,,
ah,69,71,tôn trọng nó cho nó ăn hiếp chiếm hết khu vực rồi nó quá quậy bên mỹ ah,à,,,,,,,,,,,,,,,,,,,,,
ah,73,75,vậy mà mày nói tiếng việt nam đẻ ra tại việt nam đấy quản trị viên chó ah,à,,,,,,,,,,,,,,,,,,,,,
ah,52,54,tao ở nước ngoài đừng nói cũng bắt tao đóng thuế đi ah d,à,,,,,,,,,,,,,,,,,,,,,
ah,36,38,tập để cho nó biết mình cùi bắp sao ah đâu có ngu,à,,,,,,,,,,,,,,,,,,,,,
ah,0,2,ah ơi để em sẽ xung phong đi nghĩa vụ dù em mới lớp để xem ah tấu hài fre,anh,,,,,,,,,,,,,,,,,,,,,
ah,59,61,ah ơi để em sẽ xung phong đi nghĩa vụ dù em mới lớp để xem ah tấu hài fre,anh,,,,,,,,,,,,,,,,,,,,,
ah,109,111,địt mẹ nói không phải xúc phạm chứ mấy ông càng càng phát ngôn đéo ra cái gì não mấy ông chỉ có tiền thôi ah mấy ông giúp dân nhiều quá nhỉ nói như đúng rồi,à,,,,,,,,,,,,,,,,,,,,,
ah,162,164,quan trọng là cãi tụi nó nên tụi nó cho lên đĩa chứ làm sai thì ai nào không sai với lại biết ai chơi không mà nói ông thanh nào đì dám nói ông thanh đà nẵng lắm ah,à,,,,,,,,,,,,,,,,,,,,,
ah,138,140,có ba giàu nhỉ vay sao có ba con lừa bịp táng cô hieu mấy trăm triệu vậy à nè cô bà ơi quán điện tử đẹp của cô không dụng hàng ai luôn đó ah phải gọi là giống công công hơn ha ha chắc bà này bà quên uống thuốc rồi cả nhà ơi khung hết thuốc chữa đồ thần kinh,ạ,,,,,,,,,,,,,,,,,,,,,
ah,48,50,mày chỉ là con chó oách sờ lách làm gì câu view ah vũ khác tiệp,à,,,,,,,,,,,,,,,,,,,,,
ah,46,48,nghe tưởng vô lí nhưng lại thuyết phục anh em ah,à,,,,,,,,,,,,,,,,,,,,,
ah,21,23,tóc này hkt học theo ah tôi nè,anh,,,,,,,,,,,,,,,,,,,,,
ah,64,66,mấy thằng công an xã học chả hết cấp mà cũng có bằng đại học cơ ah,à,,,,,,,,,,,,,,,,,,,,,
ah,30,32,chi ba noi chuyện có duyên wa ah cho em kết bạn facebok đi chi,à,,,,,,,,,,,,,,,,,,,,,
ah,106,108,mấy cái hội phụ nữ việt nam chả được tích sự gì nhỉ nam đá bóng thì thể thao là yêu nước còn nữ thì không ah,à,,,,,,,,,,,,,,,,,,,,,
ah,38,40,facebook thật cô mình hiếu là gì vậy ah,ạ,,,,,,,,,,,,,,,,,,,,,
ah,36,38,không hèn thì lấy cứt nuôi bụng bầu ah,à,,,,,,,,,,,,,,,,,,,,,
ah,172,174,dư luận viên là cái lũ không có não hơi đâu tranh chấp với tụi đó tụi đó nói cái nào lòi ra cái ngu đó liền mà cứ thích nói không nói sợ người ta không biết nó ngu hay sao ah,à,,,,,,,,,,,,,,,,,,,,,
ah,40,42,vũ hạnh dương cô dạy cả bộ môn chửi nữa ah,à,,,,,,,,,,,,,,,,,,,,,
ah,8,10,đep quá ah chi ơi,anh,,,,,,,,,,,,,,,,,,,,,
ah,40,42,ơi cho con xin lam oxin cho nhe cung va ah,anh,,,,,,,,,,,,,,,,,,,,,
ah,143,145,vì vậy các bạn cứ ở ngoài đó nhé đừng có vô trong nam này làm gì hít bụi mịn như hít cỏ mỹ vậy đó hèn chi phát phát biểu ra là biết ở đâu liền ah,à,,,,,,,,,,,,,,,,,,,,,
ah,4,6,tội ah tôi,anh,,,,,,,,,,,,,,,,,,,,,
ah,27,29,uyen le ha ha chưa ăn luôn ah,à,,,,,,,,,,,,,,,,,,,,,
ah,26,28,lineup team nữ trả lại em ah,à,,,,,,,,,,,,,,,,,,,,,
bn,23,25,nguyễn tài coi con cặc bn,bạn,,,,,,,,,,,,,,,,,,,,,
bn,13,15,vũ thị huyền bn vậy bạn,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,74,76,trend này được các thanh niên việt nam áp dụng khá lâu rồi không như các bn hàn quốc bây giờ mới bt,bạn,,,,,,,,,,,,,,,,,,,,,
bn,625,627,em ơi con linh dai loan no co nhô lông dai táng em chua ma em lai lên xi gon kiêm no con nua lam nhu em co bao nhiêu vang lây ra đéo hêt hay sao vây dzom giông vang gia nhin den thôi lui ha nêu la vang thiêt thi no se sang loe luôn ah em ơi cho anh noi nghe ne em quên cai con linh dai loan di no noi bon cộng sản việt nam an cut táng no nêu ma no ngung goi tiên usd ve thôi chu no không co noi em an cut táng no em co biet miên tây bây gio bi nuoc man va khô han khong ne bon trung quôc no ngan dong chây táng sông me kông rôi dân mien tay se chet doi het em chui thang trung quoc dum anh di em em dzam chui khong ne anh so bn trung công no den nhé em no nhô sach lông dai táng em do nhé,bọn,,,,,,,,,,,,,,,,,,,,,
bn,18,20,đạt nguyễn chó là bn không phải thức ăn,bạn,,,,,,,,,,,,,,,,,,,,,
bn,23,25,nguyễn tài coi con cặc bn,bạn,,,,,,,,,,,,,,,,,,,,,
bn,30,32,mua chai guci cũng đỗ lên chứ bn mua chai cũng là giả nếu bán rồi tặng nữa thì sao giàu được chị mình mua rồi không tới nước lã nhưng nói thơm hơn khi ngồi trong phòng máy lạnh mày chị mình ngồi trong máy lạnh chưa tới là hết thơm rồi không tiền thà để dành đủ tiền mua chai cho lẹ đỡ hơn là bỏ tiền ra cũng không có ít gì,bạn,,,,,,,,,,,,,,,,,,,,,
bn,18,20,nguyễn văn nhã kệ bn đi bạn mệt lắm,bọn nó,,,,,,,,,,,,,,,,,,,,,
bn,160,162,ờ nghe đồn dự kiến tới năm việt nam sẽ đứng trong số những nc có nền kiểm tra phát triển gì đó mà trước mắt thấy là ba cái vô bổ này là dân chịu nợ không biết bn tiền rồi ăn ở không nên rửa tiền chơi ah,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,8,10,chau ơi bn la con táng cô hả,bọn nó,,,,,,,,,,,,,,,,,,,,,
bn,26,28,chúng tôi đã đi trước các bn hàng chục năm về cái này rồi,bạn,,,,,,,,,,,,,,,,,,,,,
bn,20,22,hoàng yến nó có kêu bn thử đâu,bạn,,,,,,,,,,,,,,,,,,,,,
bn,16,18,người ta tri ân bn ạ bn ơi hàng nhé bn,bạn,,,,,,,,,,,,,,,,,,,,,
bn,21,23,người ta tri ân bn ạ bn ơi hàng nhé bn,bạn,,,,,,,,,,,,,,,,,,,,,
bn,36,38,người ta tri ân bn ạ bn ơi hàng nhé bn,bạn,,,,,,,,,,,,,,,,,,,,,
bn,26,28,được chuẩn tao cũng giống bn khi biết mjh không được bây giờ người thì phải hết sức nỗ lực,bạn,,,,,,,,,,,,,,,,,,,,,
bn,21,23,em nam nhé tại thằng bn nó kiếm chuyện nên em đạp mỏ nó luôn thẳng ha ha,bạn,,,,,,,,,,,,,,,,,,,,,
bn,4,6,mua bn được sỉ quản trị viên ơi,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,17,19,chu tiến đạt gốc bn ấy tuyến quang không là người miền ngoài chứ là gì,bạn,,,,,,,,,,,,,,,,,,,,,
bn,60,62,lại là do chế độ nát chi dao chị kho anh nong dan chồng cay bn nam co thang den thu hoach hộ,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,19,21,ngu là ngu làm sao bn giải thích cho tôi hiểu với được không,bạn,,,,,,,,,,,,,,,,,,,,,
bn,0,2,bn ơi bn bt gì về nước hoa không,bạn,,,,,,,,,,,,,,,,,,,,,
bn,6,8,bn ơi bn bt gì về nước hoa không,bạn,,,,,,,,,,,,,,,,,,,,,
bn,6,8,nhiều bn sống nhanh quá hay sao mà nói sống chậm thôi,bạn,,,,,,,,,,,,,,,,,,,,,
bn,0,2,bn ơi làm nghệ thuật chưa chắc tài năng đã nổi tiếng còn mấy show truyền hình người ta thấy hay thì coi được rồi chả lẻ cái gì cũng phải có khoa học công nghệ mới được à game show hài nước ngoài đầy mỹ hàn quốc gì đều cũng có quan trọng là người ta thích xem được rồi,bạn,,,,,,,,,,,,,,,,,,,,,
bn,125,127,những đứa như quản trị viên với mày chỉ suy nghĩ được vậy nên mãi làm dân ngu cu đen thôi chừng nào tính được tỉ mà ăn được bn mới làm lãnh đạo được thân ái,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,30,32,mình không california mun kết bn zalo voi châu kết bn mình nhe,bạn,,,,,,,,,,,,,,,,,,,,,
bn,51,53,mình không california mun kết bn zalo voi châu kết bn mình nhe,bạn,,,,,,,,,,,,,,,,,,,,,
bn,19,21,sống chậm thôi các bn,bạn,,,,,,,,,,,,,,,,,,,,,
bn,0,2,bn nói chuẩn chết mẹ nó rồi nhai cứ như bò nhai cỏ bảo dân trí thấp lại tự ái,bạn,,,,,,,,,,,,,,,,,,,,,
bn,4,6,sao bn chuyến bay từ lúc có dịch ở anh đến giờ không có chuyến nào bị có mỗi chuyến này bị dính dịch,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,17,19,không biết bỏ ra bn tiền để bài này được đăng nhỉ,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,25,27,có ai từ tik tok mấy đứa bn bơ vô đây không giờ trường em ai cũng bt cô minh hiếu,bạn,,,,,,,,,,,,,,,,,,,,,
bn,23,25,duy trần xin video với bn ơi,bạn,,,,,,,,,,,,,,,,,,,,,
bn,28,30,huy engraving xin video với bn ơi,bạn,,,,,,,,,,,,,,,,,,,,,
bn,10,12,xin video bn ơi,bạn,,,,,,,,,,,,,,,,,,,,,
bn,45,47,em mới đi đường quyền cái đạp vô miệng thằng bn luôn,bạn,,,,,,,,,,,,,,,,,,,,,
bn,50,52,tấn phước cô bé trong hình là người bị tôi độc hả bn,bạn,,,,,,,,,,,,,,,,,,,,,
bn,76,78,cái đám chết chạy đấy thì nó ghét cs đến xương tuỷ còn gửi tiền về gửi được bn khi làm nail culi lo cuộc sống chưa xong dư dả quá ha còn việt kiều thành đạt kiếm tiền còn gửi về tổ quốc thì chắc chắn không có thời gian mà lên facebook share cái tin rồi chửi chưa,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,75,77,lương mặt bây giờ điện nước xăng xe tiền vệ sinh thức ăn hàng ngày hỏi còn bn nếu có người ăn theo nữa chỉ có âm suốt vay mà ăn đồng nghĩa làm cu li cho nhà nước suốt đời không ngóc đầu lên được bố mẹ mà không có nhà cho thì chỉ ra gầm cầu mà ở,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,5,7,được bn,bạn,,,,,,,,,,,,,,,,,,,,,
bn,110,112,đó là các bạn đéo biết với cái trình độ học của ông nằm trong top đại học bố chủ nhà máy điện nữa chỉ là giàu bn thôi,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,36,38,buồi đức hậuhậu nếu nó cười vào mặt bn thì chứng tỏ bn không phải là gì của người ta thì vãi cặc đéo gì phải sợ chỉ là thích sai người thôi,bạn,,,,,,,,,,,,,,,,,,,,,
bn,52,54,buồi đức hậuhậu nếu nó cười vào mặt bn thì chứng tỏ bn không phải là gì của người ta thì vãi cặc đéo gì phải sợ chỉ là thích sai người thôi,bạn,,,,,,,,,,,,,,,,,,,,,
bn,83,85,robo con nhập cảnh tới mới vào viện bạn ơi không biết trong ngày á có tiếp xúc với bn nữa,bao người,,,,,,,,,,,,,,,,,,,,,
bn,19,21,gáy lên anh ơi tốn bn thế anh,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,23,25,thoại trần soi có giúp bn nổi tiếng hơn không,bạn,,,,,,,,,,,,,,,,,,,,,
bn,65,67,khoảng cách là không xa nếu ta xem nhau là tất cả để rồi mọc lên bn là canxi,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,43,45,các bác chỉ nhìn cái tiêu cực trong xã hội bn người không càn sự sống đang gồng mình cứu giúp người dân đang bên ngoài vùng lũ kia mỗi người việc p anh anh ấy có tiền thì ở trên khô phát lương thực cho những người được cán bộ cảnh sát không màng tính mạng mình đưa người dân từ nơi nguy hiểm vào đừng nói vì tiền thuế nhá bạn bạn có dám vì tiền mà đánh đổi mạng sống của mình không,bao nhiêu,,,,,,,,,,,,,,,,,,,,,
bn,25,27,khi sống ở việt nam thì bn sẽ có một cái nhìn khác,bạn,,,,,,,,,,,,,,,,,,,,,
bn,16,18,nhờ chi kim kết bn zalo mình được ơn nhe,bạn,,,,,,,,,,,,,,,,,,,,,
bn,10,12,xin video bn ơi,bạn,,,,,,,,,,,,,,,,,,,,,
bt,0,2,bt các bạn phan cuồng chửi vậy mình đã không nêu ra ý kiến cá nhân,biết,,,,,,,,,,,,,,,,,,,,,
bt,10,12,supi trần bt cũng chửi,bình thường,,,,,,,,,,,,,,,,,,,,,
bt,54,56,em cảm ơn anh và toàn team đã cố gắng hết sức mình em bt là mọi người đều bị áp lực tâm lí và chúng ta thiếu chút may mắn thôi vui là chính những giải sau cô gắng tiếp anh ạ phong độ là nhất thời đẳng cấp là mãi mãi forever,biết,,,,,,,,,,,,,,,,,,,,,
bt,98,100,trend này được các thanh niên việt nam áp dụng khá lâu rồi không như các bn hàn quốc bây giờ mới bt,biết,,,,,,,,,,,,,,,,,,,,,
bt,22,24,khánh băng chán không bt nói sao luôn á,biết,,,,,,,,,,,,,,,,,,,,,
bt,40,42,bác đấy cũng chỉ mắt tay chân như người bt thôi để thay đổi thì không chỉ sớm chiều được nói thật cho quản trị viên lên làm có nổi được như bác đấy làm bây giờ không mà nói,bình thường,,,,,,,,,,,,,,,,,,,,,
bt,88,90,đội độ mixi gaming thua cũng đúng thôi đó là đội mình nhường thái thôi mọi người tâm lý bt anh độ muốn về nc cày hãy trao cho anh lên đã cố tình thua để chiều ý anh độ,biết,,,,,,,,,,,,,,,,,,,,,
bt,56,58,nói chung cũng tạm thôi anh em ạ không hay lắm nội dung bt giật mình đùnh đùng ấy,bình thường,,,,,,,,,,,,,,,,,,,,,
bt,61,63,sua cap thi lien quan den bang thong quoc te chu noi dia van bt quản trị viên ngu ngu,bình thường,,,,,,,,,,,,,,,,,,,,,
bt,73,75,cảm ơn nhà sư những nơi thì thà lang thang thế này còn hơn vào trung tâm bt cho các loại quỷ đội lốt người có cơ hội oh dâm,bảo trợ,,,,,,,,,,,,,,,,,,,,,
bt,6,8,không bt cô chuyễn giới luôn á giờ mứ bt cô chị yêu giới lúc mình,biết,,,,,,,,,,,,,,,,,,,,,
bt,38,40,không bt cô chuyễn giới luôn á giờ mứ bt cô chị yêu giới lúc mình,biết,,,,,,,,,,,,,,,,,,,,,
bt,33,35,địt con mẹ cái bọn animal tand bt ăn tiền nên mới xử như vậy,biết,,,,,,,,,,,,,,,,,,,,,
bt,42,44,đào mạnh an bên đấy nó vẫn coi đay là cúm bt thôi tự mua thuốc về mà uống,biết,,,,,,,,,,,,,,,,,,,,,
bt,27,29,nhìn đội hình chắc ai cũng bt ba rọi béo yếu nhất,biết,,,,,,,,,,,,,,,,,,,,,
bt,3,5,ai bt cách khắc phục lỗi mạng không chứ wifi cũng đứng hoài,biết,,,,,,,,,,,,,,,,,,,,,
bt,49,51,nhìn cái poster ngầu lòi xem video âm nhạc không bt có hoảng hốt không nhỉ,biết,,,,,,,,,,,,,,,,,,,,,
bt,17,19,chung tiến không bt xem súc vật,biết,,,,,,,,,,,,,,,,,,,,,
bt,46,48,người có tiếng mặc cái lồn gì chẳng đẹp người bt nó bảo là điên,bình thường,,,,,,,,,,,,,,,,,,,,,
bt,42,44,khó ngủ quá anh em anh cuộc đời này không bt có bất công vơi tôi không chi mong không vậy,biết,,,,,,,,,,,,,,,,,,,,,
bt,6,8,có ai bt facebook của bà ấy không cho tui xin với tìm hoài không thấy,biết,,,,,,,,,,,,,,,,,,,,,
bt,25,27,lan anh nguyễn nâu choco bt không tẩy thôi nè bạn,bình thường,,,,,,,,,,,,,,,,,,,,,
bt,9,11,nct muốn bt tht hay giả mua đi thế bt,biết,,,,,,,,,,,,,,,,,,,,,
bt,35,37,nct muốn bt tht hay giả mua đi thế bt,biết,,,,,,,,,,,,,,,,,,,,,
bt,56,58,trời ơi trời nc hoa gì mấy trăm xài nc hoa hàng hiệu là bt rồi tiền trời một chai bự còn hàng dùng thử chai nhỏ xíu mặt lồn nhỏ hơn chai thuốc nhỏ mắt cũng trăm mấy trăm ngàn rồi,biết,,,,,,,,,,,,,,,,,,,,,
bt,23,25,quản trị viên đang nói bt hà nội phải không,biết,,,,,,,,,,,,,,,,,,,,,
bt,9,11,bn ơi bn bt gì về nước hoa không,biết,,,,,,,,,,,,,,,,,,,,,
bt,14,16,tụi mày không bt đấy chứ mấy tấm hình đó nếu ghép lại là đọc rap,biết,,,,,,,,,,,,,,,,,,,,,
bt,19,21,lê minh tuấn không bt được xuất viện không,biết,,,,,,,,,,,,,,,,,,,,,
bt,15,17,mình còn không bt nó là cn gì,biết,,,,,,,,,,,,,,,,,,,,,
bt,10,12,con đó hk bt đừng nói,biết,,,,,,,,,,,,,,,,,,,,,
bt,103,105,sống trên đời sao cứ phải tranh chấp mau thuẫn chi vậy ai nói gì kệ họ mình tốt thì trời bt đất bt hơi đâu nói nhiều với mấy đứa tiểu nhân,biết,,,,,,,,,,,,,,,,,,,,,
bt,111,113,sống trên đời sao cứ phải tranh chấp mau thuẫn chi vậy ai nói gì kệ họ mình tốt thì trời bt đất bt hơi đâu nói nhiều với mấy đứa tiểu nhân,biết,,,,,,,,,,,,,,,,,,,,,
bt,13,15,blue nó cũng bt chọn thằng nào hay để trao cho,biết,,,,,,,,,,,,,,,,,,,,,
bt,48,50,phạm minh tuấn cày vew nhiều quá mà nghe lần là bt như nào rồi,biết,,,,,,,,,,,,,,,,,,,,,
bt,6,8,không bt yếu kiểu gì mà tao vẫn chết,biết,,,,,,,,,,,,,,,,,,,,,
bt,66,68,có ai từ tik tok mấy đứa bn bơ vô đây không giờ trường em ai cũng bt cô minh hiếu,biết,,,,,,,,,,,,,,,,,,,,,
bt,20,22,thích sói ghê không bt khi nào sói live hộ bố được đây,biết,,,,,,,,,,,,,,,,,,,,,
bt,10,12,nhìn phát bt ghép,biết,,,,,,,,,,,,,,,,,,,,,
bt,185,187,văn yên đeo để những người ủ bệnh không lây cho người khác là chủ yếu bạn ạ còn nếu người bệnh dính nói bắn ra đâu họ chạm tay vào xong không rửa tay cjo lên mắt mũi miệng thì vẫn dính bt vì vậy phải combo ktrang và rửa tay thường xuyên sau khi txuc đồ vật,bình thường,,,,,,,,,,,,,,,,,,,,,
bt,56,58,hớn hở đi xem xuất chiếu đặc biệt hôm mùng và thấy phim bt hoy,bình thường,,,,,,,,,,,,,,,,,,,,,
bt,4,6,quá bt,bình thường,,,,,,,,,,,,,,,,,,,,,
bt,17,19,giờ chuyện đó là bt chó giờ nhiều lắm,bình thường,,,,,,,,,,,,,,,,,,,,,
bt,69,71,oficial rồi minh hiếu làm gì mà chửi hả con thiểu năng có não không bt suy nghĩ à chưa chắc gì mấy đứa ghép hình nó với mình là fan của mình,biết,,,,,,,,,,,,,,,,,,,,,
bt,6,8,không bt nên sad hay buồn,biết,,,,,,,,,,,,,,,,,,,,,
bt,4,6,tao bt thế nào khúc cuối sẽ là kicm mà,biết,,,,,,,,,,,,,,,,,,,,,
bt,33,35,nguyễn bảo trung tao cũng không bt nữa,biết,,,,,,,,,,,,,,,,,,,,,
bt,17,19,tuấn mai mày đéo bt câm mẹ có vài nghệ sĩ đã giải thích vì sao tđ bán hàng loại á,biết,,,,,,,,,,,,,,,,,,,,,
bt,19,21,loai ngu dốt không bt huc la vi lam mất hết an tuong người phụ nữ việt nam không tha thứ được,biết,,,,,,,,,,,,,,,,,,,,,
bt,5,7,mình bt có nc hoa chiết mini ra tiếp nhỏ nhưng đang nói với tâm thế là người đồ giả chứ mình xài lăng romano thôi,biết,,,,,,,,,,,,,,,,,,,,,
bv,48,50,nếu bạn đi khám có bhyt bảo hiểm xã hội tại các bv quận cũng sẽ nhận được kết quả bệnh rất nặng và kèm theo bọc thuốc to về uống cho no tháng sau bạn sẽ bị suy thận suy gan vì thuốc,bệnh viện,,,,,,,,,,,,,,,,,,,,,
bv,0,2,bv quận hân hạnh đồng hành cùng chương trình này,bệnh viện,,,,,,,,,,,,,,,,,,,,,
bv,29,31,con bóng chúa sẽ bị ma ám in bv,bệnh viện,,,,,,,,,,,,,,,,,,,,,
bv,76,78,ba rọi béo vàng ngọc chụ thật lắm chị làm phúcv gửi cho bệnh nhi ung bướu ở bv ung bướu bình thạnh vì trăm triệu cho các con vô đủ toa thuốc kéo dài sinh mạng của các con với,bệnh viện,,,,,,,,,,,,,,,,,,,,,
c,13,14,thanh phương c làm bài đánh giá đi c,chị,,,,,,,,,,,,,,,,,,,,,
c,35,36,thanh phương c làm bài đánh giá đi c,chị,,,,,,,,,,,,,,,,,,,,,
c,8,9,câu của c ha ha,chị,,,,,,,,,,,,,,,,,,,,,
c,49,50,minh hồng nguyễn có vẻ mình ngược lại thì phải á c,chị,,,,,,,,,,,,,,,,,,,,,
c,42,43,hoàng đàm linh thế em hỏi là video là bạn c bị chửi c có rút kinh nghiệm không ạ hay là c cũng muốn nghe chửi tiếp người ta ý thức tốt từ trước đến nay rồi nhé ạ,chị,,,,,,,,,,,,,,,,,,,,,
c,52,53,hoàng đàm linh thế em hỏi là video là bạn c bị chửi c có rút kinh nghiệm không ạ hay là c cũng muốn nghe chửi tiếp người ta ý thức tốt từ trước đến nay rồi nhé ạ,chị,,,,,,,,,,,,,,,,,,,,,
c,88,89,hoàng đàm linh thế em hỏi là video là bạn c bị chửi c có rút kinh nghiệm không ạ hay là c cũng muốn nghe chửi tiếp người ta ý thức tốt từ trước đến nay rồi nhé ạ,chị,,,,,,,,,,,,,,,,,,,,,
c,23,24,tran thu trang phố nhà c nè,chị,,,,,,,,,,,,,,,,,,,,,
c,6,7,giống c ha ha,chị,,,,,,,,,,,,,,,,,,,,,
c,30,31,khánh ngọc bỏ tù và phạt tiền c ạ cách ly ngày không thích thì phạt tháng tù và,chị,,,,,,,,,,,,,,,,,,,,,
c,21,22,lê hà thư không hiểu c tôi nghĩ gì mà làm quả đầu này,chị,,,,,,,,,,,,,,,,,,,,,
